No;rgb_b1;rgb_b2;rgb_b3;green_b1;green_b2;ndvi_b1;nir_b1;nir_b2;red_b1;red_b2;redEdge_b1;redEdge_b2;Label
12;1.285.836.678;1.278.152.249;112.499.654;1.594.724.346;2.524.574.394;9.535.492;1.747.344.471;2.524.574.394;1.131.516.997;2.524.574.394;190.919.791;2.524.574.394;2
13;1.472.476.125;1.418.168.858;1.230.029.066;1.589.199.875;2.524.574.394;9.611.381;1.867.892.581;2.524.574.394;109.724.836;2.524.574.394;2.029.447.765;2.524.574.394;2
14;1.498.607.612;1.442.322.491;1.224.334.948;1.583.930.644;2.524.574.394;9.694.061;2.351.694.367;2.524.574.394;1.075.852.304;2.524.574.394;2.486.144.457;2.524.574.394;2
15;1.425.822.837;1.384.131.488;1.129.439.446;2.116.130.256;2.524.574.394;9.366.588;1.921.075.779;2.524.574.394;1.754.491.197;2.524.574.394;2.209.912.152;2.524.574.394;2
55;1.331.337.024;1.245.310.727;1.068.841.522;1.563.276.277;2.522.442.907;1.026.337;2.297.758.616;2.522.442.907;1.098.530.145;2.522.442.907;2.152.040.069;2.522.442.907;2
72;1.425.804.844;1.459.590.311;1.220.953.633;1.530.632.775;2.522.442.907;10.435.257;298.034.119;2.522.442.907;1.036.786.893;2.522.442.907;294.480.036;2.522.442.907;2
73;1.468.736.332;1.479.928.028;1.250.907.958;15.184.169;2.522.442.907;10.481.546;3.003.289.647;2.522.442.907;1.005.838.436;2.522.442.907;2.913.468.014;2.522.442.907;2
76;1.538.260.208;1.487.541.869;1.301.425.606;1.645.169.855;2.522.442.907;10.468.792;2.668.208.374;2.522.442.907;1.019.835.488;2.522.442.907;2.583.168.623;2.522.442.907;2
85;1.445.130.796;1.452.842.907;1.239.669.204;1.512.429.799;2.522.442.907;10.514.192;3.183.959.087;2.522.442.907;9.542.378.685;2.522.442.907;3.110.740.678;2.522.442.907;2
126;1.520.899.654;1.516.840.138;1.369.800.692;1.566.567.779;2.522.442.907;10.462.231;2.975.566.339;2.522.442.907;9.686.739.931;2.522.442.907;3.033.491.571;2.522.442.907;2
146;1.359.537.716;137.430.173;1.138.692.042;1.420.900.886;2.522.442.907;10.471.851;2.847.176.388;2.522.442.907;9.179.431.696;2.522.442.907;2.884.827.792;2.522.442.907;2
160;1.444.311.419;1.488.296.194;1.252.283.737;1.455.932.429;2.522.442.907;10.518.269;3.035.331.516;2.522.442.907;9.219.984.775;2.522.442.907;3.070.882.228;2.522.442.907;2
192;1.461.180.623;1.412.754.325;1.201.926.644;1.542.504.484;2.522.442.907;10.158.761;1.500.953.661;2.522.442.907;1.171.387.723;2.522.442.907;1.475.326.851;2.522.442.907;2
193;1.410.841.522;1.353.777.163;114.996.955;1.579.705.993;2.522.442.907;10.111.543;1.461.422.533;2.522.442.907;1.235.529.398;2.522.442.907;1.379.859.654;2.522.442.907;2
233;1.553.950.173;1.456.758.478;1.399.799.308;1.456.103.114;2.522.442.907;10.564.723;3.311.561.204;2.522.442.907;8.981.195.433;2.522.442.907;3.270.705.758;2.522.442.907;2
262;1.549.504.498;1.509.946.021;1.411.020.069;1.408.009.052;2.522.442.907;10.292.964;1.977.453.426;2.522.442.907;1.041.330.201;2.522.442.907;1.923.172.388;2.522.442.907;2
263;1.602.208.997;1.543.583.391;145.290.519;1.456.724.997;2.522.442.907;103.044.615;2.058.032.263;2.522.442.907;1.056.413.038;2.522.442.907;2.033.535.599;2.522.442.907;2
270;1.655.851.903;1.578.747.405;1.511.201.384;1.493.583.031;2.522.442.907;10.182.034;2.066.170.519;2.522.442.907;1.261.226.104;2.522.442.907;2.228.409.426;2.522.442.907;2
271;1.612.620.069;1.553.548.789;1.477.136.332;1.432.294.602;2.522.442.907;1.022.153;2.130.497.163;2.522.442.907;120.538.519;2.522.442.907;228.486.782;2.522.442.907;2
272;1.626.945.329;1.560.485.813;1.497.295.502;1.410.719.031;2.522.442.907;10.190.864;2.075.019.419;2.522.442.907;1.200.846.311;2.522.442.907;2.229.300.194;2.522.442.907;2
273;1.618.375.087;1.539.205.536;1.480.746.021;1.386.670.353;2.522.442.907;1.016.301;1.971.385.163;2.522.442.907;1.186.040.415;2.522.442.907;2.084.949.218;2.522.442.907;2
274;1.603.503.114;152.280.692;145.739.654;1.381.305.979;2.522.442.907;10.215.333;1.978.015.972;2.522.442.907;110.009.092;2.522.442.907;1.997.276.055;2.522.442.907;2
275;1.535.147.405;1.489.345.329;1.393.518.339;1.363.053.869;2.522.442.907;10.361.777;2.138.306.782;2.522.442.907;9.819.869.758;2.522.442.907;2.082.887.266;2.522.442.907;2
276;1.555.944.637;149.803.045;1.406.337.716;1.380.113.052;2.522.442.907;10.355.425;2.119.416.014;2.522.442.907;9.860.986.574;2.522.442.907;20.717.009;2.522.442.907;2
285;1.608.207.612;1.541.784.083;1.443.815.917;1.407.270.948;2.522.442.907;10.314.552;2.351.331.779;2.522.442.907;1.147.887.294;2.522.442.907;2.464.261.606;2.522.442.907;2
286;162.492.872;1.533.357.785;1.459.021.453;1.394.567.502;2.522.442.907;1.022.282;2.132.870.768;2.522.442.907;1.193.548.443;2.522.442.907;2.266.086.491;2.522.442.907;2
287;1.613.749.481;151.013.564;1.452.089.965;1.367.726.851;2.522.442.907;10.266.244;2.152.886.713;2.522.442.907;1.111.434.879;2.522.442.907;2.211.755.779;2.522.442.907;2
288;1.501.635.986;1.472.297.578;1.360.726.644;1.345.098.201;2.522.442.907;10.390.079;2.271.106.422;2.522.442.907;9.701.365.536;2.522.442.907;2.233.115.349;2.522.442.907;2
289;1.489.345.329;1.468.740.484;1.340.388.927;1.358.270.422;2.522.442.907;10.425.766;2.281.959.239;2.522.442.907;9.412.482.076;2.522.442.907;2.225.315.017;2.522.442.907;2
290;1.495.980.623;1.476.170.242;1.367.731.488;1.500.054.076;2.522.442.907;10.363.201;2.428.308.152;2.522.442.907;1.037.712.014;2.522.442.907;2.401.727.349;2.522.442.907;2
291;1.604.617.301;1.564.092.734;1.458.282.353;1.436.945.592;2.522.442.907;10.312.203;2.222.334.851;2.522.442.907;1.064.647.889;2.522.442.907;2.257.454.907;2.522.442.907;2
303;1.463.368.858;1.456.199.308;1.328.148.097;1.460.989.869;2.522.442.907;10.348.134;2.244.075.972;2.522.442.907;1.031.913.052;2.522.442.907;2.198.370.381;2.522.442.907;2
304;1.562.099.654;1.528.022.145;1.445.248.443;1.681.286.519;2.522.442.907;10.450.975;3.444.983.419;2.522.442.907;1.037.301.619;2.522.442.907;3.275.529.965;2.522.442.907;2
336;1.759.331.488;1.623.694.118;1.555.157.093;1.515.766.505;2.522.442.907;10.194.849;2.046.391.972;2.522.442.907;1.155.782.907;2.522.442.907;2.226.810.367;2.522.442.907;2
337;171.383.391;1.589.844.983;1.511.325.952;1.502.497.481;2.522.442.907;10.128.927;1.927.233.564;2.522.442.907;1.197.619.585;2.522.442.907;2.115.122.173;2.522.442.907;2
338;1.659.319.031;1.537.893.426;1.453.687.197;1.467.466.657;2.522.442.907;10.184.375;203.675.683;2.522.442.907;1.231.447.779;2.522.442.907;223.052.645;2.522.442.907;2
339;1.675.617.993;1.544.177.163;1.463.853.287;1.424.385.024;2.522.442.907;10.168.274;1.992.902.893;2.522.442.907;1.270.992.471;2.522.442.907;2.214.098.491;2.522.442.907;2
341;1.655.921.107;1.532.488.581;1.438.696.194;1.345.103.696;2.522.442.907;10.289.413;2.137.048.083;2.522.442.907;1.138.407.986;2.522.442.907;2.264.198.879;2.522.442.907;2
364;1.668.592.388;153.566.782;1.446.290.657;151.972.782;2.522.442.907;10.194.478;1.923.328.055;2.522.442.907;1.169.900.138;2.522.442.907;210.844.717;2.522.442.907;2
365;1.660.170.242;1.530.260.208;1.437.212.457;1.471.594.381;2.522.442.907;10.264.366;2.075.144.512;2.522.442.907;118.016.555;2.522.442.907;2.252.678.865;2.522.442.907;2
387;1.465.555.709;1.466.714.187;1.156.775.087;1.779.582.062;2.522.442.907;10.425.162;2.536.866.339;2.522.442.907;1.209.818.519;2.522.442.907;3.130.741.093;2.522.442.907;2
388;1.511.815.917;1.490.733.564;120.624.083;1.637.351.723;2.522.442.907;10.453.765;2.381.121.301;2.522.442.907;1.109.673.758;2.522.442.907;2.815.567.073;2.522.442.907;2
391;1.484.444.291;1.507.541.869;1.220.993.772;1.717.887.142;2.522.442.907;10.427.174;2.396.564.263;2.522.442.907;1.133.969.287;2.522.442.907;2.920.435.363;2.522.442.907;2
392;1.512.434.602;1.474.683.737;1.189.738.408;1.661.644.983;2.522.442.907;10.373.653;2.222.296.332;2.522.442.907;1.163.660.678;2.522.442.907;2.737.621.412;2.522.442.907;2
405;1.655.161.246;1.522.024.913;1.266.001.384;1.626.973.121;2.522.442.907;10.491.865;2.443.650.256;2.522.442.907;1.065.291.931;2.522.442.907;2.946.111.903;2.522.442.907;2
416;1.548.764.014;1.442.870.588;1.210.117.647;2.357.668.152;2.522.442.907;9.929.653;1.942.777.384;2.522.442.907;1.936.826.602;2.522.442.907;2.403.277.841;2.522.442.907;2
434;1.530.675.433;1.423.916.955;1.179.338.408;23.647.889;2.522.442.907;10.060.715;2.297.433.384;2.522.442.907;1.927.830.879;2.522.442.907;2.764.385.467;2.522.442.907;2
2;1.325.789.619;1.349.595.848;1.125.283.045;1.409.960.803;2.525.107.266;9.537.767;2.246.384.872;2.525.107.266;8.229.619.792;2.525.107.266;2.239.401.578;2.525.107.266;3
3;1.162.687.889;1.183.140.484;8.700.955.017;1.413.049.356;2.525.107.266;937.549;1.845.353.965;2.525.107.266;9.323.623.391;2.525.107.266;1.916.700.595;2.525.107.266;3
4;1.050.047.059;1.060.350.173;9.460.678.201;173.461.164;2.525.107.266;9.422.446;2.311.577.467;2.525.107.266;1.105.304.152;2.525.107.266;2.469.417.121;2.525.107.266;3
5;1.371.986.159;1.307.341.176;1.172.838.754;1.739.617.619;2.525.107.266;9.442.769;2.319.069.813;2.525.107.266;1.151.181.993;2.525.107.266;248.046.263;2.525.107.266;3
6;1.497.929.412;1.433.804.844;1.224.555.017;2.059.971.183;2.525.107.266;9.389.227;2.352.380.471;2.525.107.266;1.529.495.848;2.525.107.266;2.621.476.512;2.525.107.266;3
7;146.387.128;1.398.815.225;1.175.572.318;2.257.063.308;2.525.107.266;9.132.314;2.062.329.398;2.525.107.266;1.868.558.173;2.525.107.266;2.427.991.322;2.525.107.266;3
8;1.383.712.111;132.963.045;1.132.808.304;1.503.208.443;2.525.107.266;9.094.431;1.383.372.609;2.525.107.266;1.293.220.997;2.525.107.266;1.518.488.761;2.525.107.266;3
9;1.581.530.796;1.553.570.934;1.417.417.301;1.467.610.547;2.525.107.266;946.266;2.163.387.917;2.525.107.266;9.536.852.042;2.525.107.266;2.164.640.249;2.525.107.266;3
10;148.982.699;1.500.058.131;1.302.052.595;131.876.728;2.525.107.266;9.348.557;1.535.471.626;2.525.107.266;9.181.153.218;2.525.107.266;1.567.503.308;2.525.107.266;3
11;1.392.395.848;138.313.218;1.196.469.204;1.417.991.253;2.525.107.266;9.319.834;1.510.664.872;2.525.107.266;100.404.537;2.525.107.266;1.612.951.045;2.525.107.266;3
16;1.248.207.612;1.240.903.806;8.834.020.761;1.864.487.779;2.524.574.394;9.160.711;1.811.391.986;2.525.107.266;1.478.370.201;2.525.107.266;1.987.120.927;2.525.107.266;3
17;1.555.565.398;1.545.597.232;1.413.669.204;158.259.063;2.524.574.394;9.455.987;2.420.700.457;2.525.107.266;1.020.325.495;2.525.107.266;2.468.073.273;2.525.107.266;3
18;151.256.609;1.516.382.007;1.330.556.401;158.310.364;2.524.574.394;9.428.267;220.669.463;2.525.107.266;1.045.276.083;2.525.107.266;2.245.801.509;2.525.107.266;3
19;1.507.042.215;149.320.692;1.278.483.045;1.606.866.201;2.524.574.394;9.398.728;1.956.539.336;2.525.107.266;1.094.419.156;2.525.107.266;2.063.127.779;2.525.107.266;3
20;1.484.174.394;1.470.033.218;1.247.310.727;1.608.869.965;2.524.574.394;9.377.066;1.829.328.997;2.525.107.266;112.182.364;2.525.107.266;1.994.003.045;2.525.107.266;3
21;1.504.346.021;1.462.711.419;1.251.000.692;158.009.182;2.524.574.394;9.400.902;1.843.743.211;2.525.107.266;1.099.206.478;2.525.107.266;2.009.623.197;2.525.107.266;3
22;1.493.252.595;1.445.555.709;1.226.654.671;1.689.761.356;2.524.574.394;948.383;2.455.750.381;2.525.107.266;110.348.454;2.525.107.266;2.557.860.651;2.525.107.266;3
23;1.429.161.246;1.383.910.035;1.149.795.156;1.749.085.232;2.524.574.394;9.133.669;163.016.573;2.525.107.266;1.442.373.384;2.525.107.266;1.792.442.893;2.525.107.266;3
24;1.381.767.474;1.340.567.474;9.987.058.824;219.678.883;2.524.574.394;903.046;1.830.063.626;2.525.107.266;1.808.453.592;2.525.107.266;2.013.523.474;2.525.107.266;3
25;1.565.498.962;1.535.182.007;1.416.052.595;1.575.472.997;2.524.574.394;9.449.264;2.410.612.388;2.525.107.266;10345.28;2.525.107.266;2.463.879.225;2.525.107.266;3
26;1.530.563.322;1.525.378.547;1.371.860.208;157.593.517;2.524.574.394;945.641;2.427.488.858;2.525.107.266;1.032.721.218;2.525.107.266;2.443.756.734;2.525.107.266;3
27;1.502.538.408;1.488.059.516;1.297.216.609;1.595.091.128;2.524.574.394;9.422.926;2.161.857.273;2.525.107.266;1.072.576.595;2.525.107.266;2.214.131.211;2.525.107.266;3
28;1.473.183.391;1.459.450.519;1.253.152.941;1.600.243.128;2.524.574.394;9.423.648;1.951.325.481;2.525.107.266;1.087.177.938;2.525.107.266;2.076.316.872;2.525.107.266;3
29;1.456.791.696;1.435.629.066;1.224.892.734;1.593.563.917;2.524.574.394;9.413.798;1.886.882.893;2.525.107.266;1.076.245.827;2.525.107.266;20.310.911;2.525.107.266;3
30;1.452.674.048;1.410.419.377;1.220.775.087;1.677.989.675;2.524.574.394;9.384.019;2.130.176.221;2.525.107.266;1.114.936.498;2.525.107.266;2.255.767.709;2.525.107.266;3
31;138.096.609;1.362.153.633;1.150.015.225;1.854.767.433;2.524.574.394;9.083.666;1.963.104.401;2.525.107.266;1.381.370.353;2.525.107.266;2.076.609.536;2.525.107.266;3
32;1.419.346.713;1.380.981.315;1.079.862.976;2.279.420.055;2.524.574.394;8.967.259;2.223.095.045;2.525.107.266;1.872.304.983;2.525.107.266;2.342.402.547;2.525.107.266;3
37;1.516.395.848;1.469.583.391;1.292.993.772;1.738.124.125;2.525.107.266;94.518.795;2.282.396.208;2.525.107.266;1.107.320.055;2.525.107.266;2.390.310.574;2.525.107.266;3
38;1.437.287.197;1.429.190.311;120.057.301;1.746.486.021;2.525.107.266;9.372.093;2.128.608.166;2.525.107.266;1.123.900.692;2.525.107.266;2.209.916.983;2.525.107.266;3
39;1.415.965.398;1.411.921.107;1.171.302.422;1.660.416.997;2.525.107.266;921.159;1.926.276.083;2.525.107.266;1.133.541.038;2.525.107.266;194.025.492;2.525.107.266;3
