No,rgb_b1,rgb_b2,rgb_b3,green_b1,green_b2,ndvi_b1,nir_b1,nir_b2,red_b1,red_b2,redEdge_b1,redEdge_b2,Label
1,160.5325952,157.176609,141.5133564,16915.38035,252.5411765,9.475441,30633.82671,252.5411765,8828.740346,252.5411765,29784.55087,252.5411765, 
2,132.5789619,134.9595848,112.5283045,14099.60803,252.5107266,9.537767,22463.84872,252.5107266,8229.619792,252.5107266,22394.01578,252.5107266,3
3,116.2687889,118.3140484,87.00955017,14130.49356,252.5107266,9.37549,18453.53965,252.5107266,9323.623391,252.5107266,19167.00595,252.5107266,3
4,105.0047059,106.0350173,94.60678201,17346.1164,252.5107266,9.422446,23115.77467,252.5107266,11053.04152,252.5107266,24694.17121,252.5107266,3
5,137.1986159,130.7341176,117.2838754,17396.17619,252.5107266,9.442769,23190.69813,252.5107266,11511.81993,252.5107266,24804.6263,252.5107266,3
6,149.7929412,143.3804844,122.4555017,20599.71183,252.5107266,9.389227,23523.80471,252.5107266,15294.95848,252.5107266,26214.76512,252.5107266,3
7,146.387128,139.8815225,117.5572318,22570.63308,252.5107266,9.132314,20623.29398,252.5107266,18685.58173,252.5107266,24279.91322,252.5107266,3
8,138.3712111,132.963045,113.2808304,15032.08443,252.5107266,9.094431,13833.72609,252.5107266,12932.20997,252.5107266,15184.88761,252.5107266,3
9,158.1530796,155.3570934,141.7417301,14676.10547,252.5107266,9.46266,21633.87917,252.5107266,9536.852042,252.5107266,21646.40249,252.5107266,3
10,148.982699,150.0058131,130.2052595,13187.6728,252.5107266,9.348557,15354.71626,252.5107266,9181.153218,252.5107266,15675.03308,252.5107266,3
11,139.2395848,138.313218,119.6469204,14179.91253,252.5107266,9.319834,15106.64872,252.5107266,10040.4537,252.5107266,16129.51045,252.5107266,3
12,128.5836678,127.8152249,112.499654,15947.24346,252.4574394,9.535492,17473.44471,252.4574394,11315.16997,252.4574394,19091.9791,252.4574394,2
13,147.2476125,141.8168858,123.0029066,15891.99875,252.4574394,9.611381,18678.92581,252.4574394,10972.4836,252.4574394,20294.47765,252.4574394,2
14,149.8607612,144.2322491,122.4334948,15839.30644,252.4574394,9.694061,23516.94367,252.4574394,10758.52304,252.4574394,24861.44457,252.4574394,2
15,142.5822837,138.4131488,112.9439446,21161.30256,252.4574394,9.366588,19210.75779,252.4574394,17544.91197,252.4574394,22099.12152,252.4574394,2
16,124.8207612,124.0903806,88.34020761,18644.87779,252.4574394,9.160711,18113.91986,252.5107266,14783.70201,252.5107266,19871.20927,252.5107266,3
17,155.5565398,154.5597232,141.3669204,15825.9063,252.4574394,9.455987,24207.00457,252.5107266,10203.25495,252.5107266,24680.73273,252.5107266,3
18,151.256609,151.6382007,133.0556401,15831.0364,252.4574394,9.428267,22066.9463,252.5107266,10452.76083,252.5107266,22458.01509,252.5107266,3
19,150.7042215,149.320692,127.8483045,16068.66201,252.4574394,9.398728,19565.39336,252.5107266,10944.19156,252.5107266,20631.27779,252.5107266,3
20,148.4174394,147.0033218,124.7310727,16088.69965,252.4574394,9.377066,18293.28997,252.5107266,11218.2364,252.5107266,19940.03045,252.5107266,3
21,150.4346021,146.2711419,125.1000692,15800.9182,252.4574394,9.400902,18437.43211,252.5107266,10992.06478,252.5107266,20096.23197,252.5107266,3
22,149.3252595,144.5555709,122.6654671,16897.61356,252.4574394,9.48383,24557.50381,252.5107266,11034.8454,252.5107266,25578.60651,252.5107266,3
23,142.9161246,138.3910035,114.9795156,17490.85232,252.4574394,9.133669,16301.6573,252.5107266,14423.73384,252.5107266,17924.42893,252.5107266,3
24,138.1767474,134.0567474,99.87058824,21967.8883,252.4574394,9.03046,18300.63626,252.5107266,18084.53592,252.5107266,20135.23474,252.5107266,3
25,156.5498962,153.5182007,141.6052595,15754.72997,252.4574394,9.449264,24106.12388,252.5107266,10345.28,252.5107266,24638.79225,252.5107266,3
26,153.0563322,152.5378547,137.1860208,15759.3517,252.4574394,9.45641,24274.88858,252.5107266,10327.21218,252.5107266,24437.56734,252.5107266,3
27,150.2538408,148.8059516,129.7216609,15950.91128,252.4574394,9.422926,21618.57273,252.5107266,10725.76595,252.5107266,22141.31211,252.5107266,3
28,147.3183391,145.9450519,125.3152941,16002.43128,252.4574394,9.423648,19513.25481,252.5107266,10871.77938,252.5107266,20763.16872,252.5107266,3
29,145.6791696,143.5629066,122.4892734,15935.63917,252.4574394,9.413798,18868.82893,252.5107266,10762.45827,252.5107266,20310.911,252.5107266,3
30,145.2674048,141.0419377,122.0775087,16779.89675,252.4574394,9.384019,21301.76221,252.5107266,11149.36498,252.5107266,22557.67709,252.5107266,3
31,138.096609,136.2153633,115.0015225,18547.67433,252.4574394,9.083666,19631.04401,252.5107266,13813.70353,252.5107266,20766.09536,252.5107266,3
32,141.9346713,138.0981315,107.9862976,22794.20055,252.4574394,8.967259,22230.95045,252.5107266,18723.04983,252.5107266,23424.02547,252.5107266,3
33,156.3299654,155.9262284,138.1936332,16275.81052,252.4193772,9.779173,26883.65232,252.4193772,10623.10007,252.4193772,27380.0818,252.4193772,?
34,154.1839446,154.8265744,137.9432526,15998.42367,252.5411765,9.26431,24664.50491,252.5411765,11086.76318,252.5411765,25054.1481,252.5411765,4
35,156.8387543,153.7284429,135.8107958,16130.75017,252.5411765,9.244302,23144.62879,252.5411765,11377.65785,252.5411765,23418.79654,252.5411765,4
36,153.0938408,148.890519,130.5951557,16664.72221,252.5411765,9.32907,22796.60609,252.5411765,11087.81273,252.5411765,23468.04166,252.5411765,4
37,151.6395848,146.9583391,129.2993772,17381.24125,252.5107266,9.4518795,22823.96208,252.5107266,11073.20055,252.5107266,23903.10574,252.5107266,3
38,143.7287197,142.9190311,120.057301,17464.86021,252.5107266,9.372093,21286.08166,252.5107266,11239.00692,252.5107266,22099.16983,252.5107266,3
39,141.5965398,141.1921107,117.1302422,16604.16997,252.5107266,9.21159,19262.76083,252.5107266,11335.41038,252.5107266,19402.5492,252.5107266,3
40,142.2286505,140.5779931,115.7418685,19099.07529,252.5107266,9.204,22924.94754,252.5107266,13332.49329,252.5107266,22080.0526,252.5107266,3
41,129.0801384,119.6334948,102.4069204,15251.67294,252.2138408,10.317248,23951.92581,252.2138408,10930.83765,252.2138408,21942.85163,252.2138408,3
42,137.630173,129.3536332,107.1446367,14405.47308,252.2138408,10.153234,17604.43488,252.2138408,11965.04997,252.2138408,16803.28983,252.2138408,3
43,140.9457439,135.7086505,111.4956401,15006.10893,252.2138408,10.172287,19135.7045,252.2138408,12553.23585,252.2138408,18735.36291,252.2138408,3
44,150.2155017,143.8687889,120.6110727,15053.47142,252.2138408,10.161001,19451.63031,252.2138408,12614.76332,252.2138408,19709.3092,252.2138408,3
45,152.9883737,145.672526,123.7093426,15587.13882,252.2138408,10.149475,20268.82588,252.2138408,13088.05329,252.2138408,20853.18353,252.2138408,3
46,155.9579239,147.3839446,125.5251211,15713.67792,252.2138408,10.165182,20814.52125,252.2138408,13290.39585,252.2138408,21495.75183,252.2138408,3
47,159.3191696,150.6754325,130.6610381,15421.39433,252.2138408,10.179324,19896.60581,252.2138408,13347.23792,252.2138408,20640.98754,252.2138408,3
48,166.0352941,154.0214533,136.7015917,15871.37315,252.2138408,10.190646,19435.43668,252.2138408,13642.86464,252.2138408,20223.7391,252.2138408,3
49,168.9511419,158.3177855,139.9467128,17022.53522,252.2138408,10.184931,20201.73716,252.2138408,14036.25716,252.2138408,21022.16692,252.2138408,3
50,173.420346,162.1087889,143.9986159,18149.66131,252.099654,10.645271,21632.58131,252.099654,13970.55696,252.099654,22286.58893,252.099654,?
51,173.67391,163.9719031,142.8341869,17395.85827,252.099654,10.868645,21373.10367,252.099654,11648.93952,252.099654,21876.20138,252.099654,?
52,159.7415917,154.08609,131.4251903,16735.30394,252.099654,10.808216,19135.30394,252.099654,11915.071,252.099654,20044.73246,252.099654,?
53,159.2193772,151.5857439,130.2775087,16169.2472,252.099654,10.751274,17937.90644,252.099654,12065.09965,252.099654,18885.31433,252.099654,?
54,126.3060208,117.3443599,98.73024221,15393.61024,252.2138408,10.312502,21579.45606,252.2138408,11131.00415,252.2138408,20138.85273,252.2138408,3
55,133.1337024,124.5310727,106.8841522,15632.76277,252.2442907,10.26337,22977.58616,252.2442907,10985.30145,252.2442907,21520.40069,252.2442907,2
56,136.7666436,132.5821453,110.8091349,15804.8155,252.2138408,10.423994,25834.70796,252.2138408,10943.54408,252.2138408,24009.24304,252.2138408,3
